Season,Team,Age,Win_loss_percentage,Pace
1980-81,Boston Celtics,27.2,.706,95.8
1980-81,Phoenix Suns,25.7,.429,91.8
1980-81,Milwaukee Bucks,26.7,.429,96.5
1980-81,Philadelphia 76ers,27.2,.563,98.4
1980-81,Houston Rockets,27.1,.571,93.4
1980-81,Los Angeles Lakers,26.6,.333,97.5
1980-81,Portland Trail Blazers,25.8,.333,95.9
1980-81,San Antonio Spurs,26.3,.429,97.0
1980-81,Kansas City Kings,26.5,.467,91.5
1980-81,Chicago Bulls,26.8,.333,96.5
1980-81,New York Knicks,25.6,.000,94.8
1980-81,Indiana Pacers,26.0,.000,103.4
1981-82,Los Angeles Lakers,27.0,.857,103.1
1981-82,Boston Celtics,27.2,.583,97.9
1981-82,Seattle Supersonics,27.3,.375,94.7
1981-82,Philadelphia 76ers,27.7,.571,98.0
1981-82,Denver Nuggets,27.0,.333,106.0
1981-82,Washington Bullets,25.6,.429,95.6
1981-82,Milwaukee Bucks,27.3,.333,93.8
1981-82,San Antonio Spurs,26.1,.444,101.9
1981-82,Houston Rockets,28.7,.333,86.0
1981-82,Phoenix Suns,26.5,.286,103.1
1981-82,New Jersey Nets,24.4,.000,96.3
1981-82,Atlanta Hawks,26.1,.000,88.4
1982-83,Philadelphia 76ers,27.4,.923,97.2
1982-83,San Antonio Spurs,27.6,.545,108.1
1982-83,Milwaukee Bucks,28.0,.556,94.9
1982-83,Los Angeles Lakers,27.7,.533,100.8
1982-83,New York Knicks,27.0,.333,97.1
1982-83,Portland Trail Blazers,25.5,.429,97.6
1982-83,Phoenix Suns,26.6,.333,101.7
1982-83,Boston Celtics,27.4,.286,96.3
1982-83,Denver Nuggets,26.7,.375,109.7
1982-83,Atlanta Hawks,26.5,.333,96.6
1982-83,New Jersey Nets,24.9,.000,97.6
1982-83,Seattle Supersonics,27.8,.000,96.6
1983-84,Los Angeles Lakers,27.1,.667,100.1
1983-84,Boston Celtics,28.0,.652,98.0
1983-84,Milwaukee Bucks,28.0,.500,96.7
1983-84,Detroit Pistons,25.4,.400,100.6
1983-84,New Jersey Nets,25.7,.455,98.6
1983-84,Phoenix Suns,27.5,.529,97.8
1983-84,Seattle Supersonics,27.4,.400,90.5
1983-84,Denver Nuggets,27.2,.400,106.1
1983-84,Utah Jazz,26.8,.455,100.3
1983-84,Portland Trail Blazers,25.8,.400,97.5
1983-84,Philadelphia 76ers,28.3,.400,101.3
1983-84,Washington Bullets,26.6,.250,87.9
1983-84,New York Knicks,27.0,.500,99.0
1983-84,Dallas Mavericks,24.6,.400,93.8
1983-84,Kansas City Kings,26.0,.000,99.6
1983-84,Atlanta Hawks,26.4,.400,93.3
1984-85,Los Angeles Lakers,27.4,.789,108.0
1984-85,Boston Celtics,28.7,.619,101.6
1984-85,Philadelphia 76ers,28.3,.615,99.3
1984-85,Denver Nuggets,28.2,.533,108.6
1984-85,Cleveland Cavaliers,26.9,.250,101.6
1984-85,Houston Rockets,25.5,.400,103.8
1984-85,Detroit Pistons,26.9,.556,103.2
1984-85,Milwaukee Bucks,25.4,.375,99.5
1984-85,Dallas Mavericks,24.8,.250,96.8
1984-85,Utah Jazz,27.0,.400,106.1
1984-85,Washington Bullets,26.5,.250,96.9
1984-85,Portland Trail Blazers,25.3,.444,103.0
1984-85,Chicago Bulls,25.0,.250,97.3
1984-85,New Jersey Nets,26.4,.000,105.4
1984-85,San Antonio Spurs,29.0,.400,104.7
1984-85,Phoenix Suns,26.2,.000,109.4
1985-86,Boston Celtics,29.3,.833,98.4
1985-86,Los Angeles Lakers,28.3,.571,99.9
1985-86,Houston Rockets,25.4,.650,99.0
1985-86,Philadelphia 76ers,27.9,.500,98.3
1985-86,Dallas Mavericks,25.8,.500,96.9
1985-86,Milwaukee Bucks,26.0,.500,100.0
1985-86,Atlanta Hawks,25.1,.444,99.5
1985-86,Denver Nuggets,27.9,.500,102.7
1985-86,Utah Jazz,25.9,.250,93.5
1985-86,Portland Trail Blazers,27.0,.250,103.5
1985-86,Detroit Pistons,26.3,.250,101.0
1985-86,Washington Bullets,27.6,.400,96.0
1985-86,New Jersey Nets,27.3,.000,98.7
1985-86,Chicago Bulls,25.4,.000,97.8
1985-86,Sacramento Kings,26.9,.000,94.1
1985-86,San Antonio Spurs,27.9,.000,101.1
1986-87,Los Angeles Lakers,28.3,.833,100.5
1986-87,Detroit Pistons,26.9,.667,95.9
1986-87,Houston Rockets,26.9,.500,96.4
1986-87,Atlanta Hawks,26.0,.444,91.5
1986-87,Milwaukee Bucks,28.5,.500,99.1
1986-87,Boston Celtics,29.5,.565,97.2
1986-87,Utah Jazz,26.4,.400,95.9
1986-87,Philadelphia 76ers,27.3,.400,98.6
1986-87,Seattle Supersonics,26.4,.500,97.7
1986-87,Indiana Pacers,25.8,.250,91.5
1986-87,Dallas Mavericks,25.8,.250,101.9
1986-87,Portland Trail Blazers,27.3,.250,98.9
1986-87,Golden State Warriors,27.3,.400,98.7
1986-87,Chicago Bulls,25.4,.000,89.6
1986-87,Washington Bullets,25.9,.000,98.7
1986-87,Denver Nuggets,27.0,.000,108.6
1987-88,Detroit Pistons,27.8,.609,91.1
1987-88,Los Angeles Lakers,29.2,.625,92.5
1987-88,Atlanta Hawks,27.0,.500,93.9
1987-88,Utah Jazz,26.7,.545,95.1
1987-88,Boston Celtics,30.7,.529,92.3
1987-88,Dallas Mavericks,27.0,.588,94.1
1987-88,Seattle Supersonics,25.6,.400,99.4
1987-88,Milwaukee Bucks,28.5,.400,95.5
1987-88,Cleveland Cavaliers,24.9,.400,92.9
1987-88,Denver Nuggets,29.0,.455,99.2
1987-88,Houston Rockets,27.6,.250,95.3
1987-88,Portland Trail Blazers,27.1,.250,101.2
1987-88,Chicago Bulls,24.9,.400,92.8
1987-88,Washington Bullets,27.1,.400,89.9
1987-88,San Antonio Spurs,26.0,.000,105.6
1987-88,New York Knicks,25.1,.250,94.4
1988-89,Detroit Pistons,28.3,.882,88.9
1988-89,Phoenix Suns,26.0,.583,104.4
1988-89,Los Angeles Lakers,29.8,.733,95.4
1988-89,Houston Rockets,26.8,.250,98.2
1988-89,Chicago Bulls,26.5,.529,91.1
1988-89,Atlanta Hawks,28.3,.400,86.8
1988-89,Cleveland Cavaliers,26.5,.400,90.4
1988-89,New York Knicks,25.5,.556,94.5
1988-89,Philadelphia 76ers,28.2,.000,95.2
1988-89,Seattle Supersonics,25.9,.375,95.2
1988-89,Milwaukee Bucks,28.7,.333,86.0
1988-89,Golden State Warriors,26.1,.500,102.7
1988-89,Denver Nuggets,30.6,.000,107.6
1988-89,Utah Jazz,27.5,.000,99.6
1988-89,Boston Celtics,27.7,.000,92.8
1988-89,Portland Trail Blazers,26.9,.000,97.5
1989-90,Detroit Pistons,29.3,.750,92.2
1989-90,San Antonio Spurs,25.3,.600,102.2
1989-90,Chicago Bulls,26.3,.625,92.7
1989-90,Phoenix Suns,27.1,.563,97.9
1989-90,Los Angeles Lakers,28.9,.444,94.1
1989-90,Cleveland Cavaliers,26.4,.400,93.8
1989-90,Boston Celtics,31.0,.400,99.9
1989-90,Utah Jazz,27.8,.400,94.8
1989-90,Portland Trail Blazers,26.7,.571,99.3
1989-90,Philadelphia 76ers,27.3,.400,93.2
1989-90,New York Knicks,28.0,.400,95.2
1989-90,Houston Rockets,27.3,.250,92.6
1989-90,Dallas Mavericks,28.3,.000,97.2
1989-90,Milwaukee Bucks,28.4,.250,94.1
1989-90,Denver Nuggets,29.6,.000,108.8
1989-90,Indiana Pacers,26.2,.000,88.6
1990-91,Chicago Bulls,27.2,.882,88.1
1990-91,Utah Jazz,28.4,.444,95.6
1990-91,Portland Trail Blazers,27.8,.563,93.6
